,,,,,,,,,,Loser,Winner,Value
,,,,,,,,,,Abhishek,NipPincher,0
,,,,,,,,,,Spartan,Abhishek,5054
,,,,,,,,,,Diraj,Abhishek,2612
Row Labels,Sum of Spartan,Sum of Diraj,Sum of NipPincher,Sum of Sanjay,Sum of thamarmo,Sum of Abhishek,Sum of Shishtaouk,Sum of SugaDaddy,,NipPincher,Abhishek,3153
Abhishek,5054,2612,3153,2816,1051,0,95,3153,,Sanjay,Abhishek,2816
Diraj,0,0,0,9,601,361,0,0,,thamarmo,Abhishek,1051
NipPincher,0,0,0,0,0,0,0,0,,Abhishek,Abhishek,0
Sanjay,1852,1001,0,0,4256,4351,2703,951,,Shishtaouk,Abhishek,95
Shishtaouk,1501,0,3728,0,2153,1452,0,0,,SugaDaddy,Abhishek,3153
Spartan,0,901,1752,3078,0,1603,0,1302,,Spartan,Diraj,0
SugaDaddy,0,451,0,751,0,1051,0,0,,Diraj,Diraj,0
thamarmo,101,0,0,2025,0,2417,0,951,,NipPincher,Diraj,0
Grand Total,8508,4965,8633,8679,8061,11235,2798,6357,,Sanjay,Diraj,9
,,,,,,,,,,thamarmo,Diraj,601
,,,,,,,,,,Abhishek,Diraj,361
Row Labels,Sum of Spartan,Sum of Diraj,Sum of NipPincher,Sum of Sanjay,Sum of thamarmo,Sum of Abhishek,Sum of Shishtaouk,Sum of SugaDaddy,,Shishtaouk,Diraj,0
Abhishek,5054,2612,3153,2816,1051,0,95,3153,,SugaDaddy,Diraj,0
Diraj,0,0,0,9,601,361,0,0,,Spartan,NipPincher,0
NipPincher,0,0,0,0,0,0,0,0,,Diraj,NipPincher,0
Sanjay,1852,1001,0,0,4256,4351,2703,951,,NipPincher,NipPincher,0
Shishtaouk,1501,0,3728,0,2153,1452,0,0,,Sanjay,NipPincher,0
Spartan,0,901,1752,3078,0,1603,0,1302,,thamarmo,NipPincher,0
SugaDaddy,0,451,0,751,0,1051,0,0,,Abhishek,NipPincher,0
thamarmo,101,0,0,2025,0,2417,0,951,,Shishtaouk,NipPincher,0
,,,,,,,,,,SugaDaddy,NipPincher,0
,,,,,,,,,,Spartan,Sanjay,1852
,,,,,,,,,,Diraj,Sanjay,1001
,,,,,,,,,,NipPincher,Sanjay,0
,,,,,,,,,,Sanjay,Sanjay,0
,,,,,,,,,,thamarmo,Sanjay,4256
,,,,,,,,,,Abhishek,Sanjay,4351
,,,,,,,,,,Shishtaouk,Sanjay,2703
,,,,,,,,,,SugaDaddy,Sanjay,951
,,,,,,,,,,Spartan,Shishtaouk,1501
,,,,,,,,,,Diraj,Shishtaouk,0
,,,,,,,,,,NipPincher,Shishtaouk,3728
,,,,,,,,,,Sanjay,Shishtaouk,0
,,,,,,,,,,thamarmo,Shishtaouk,2153
,,,,,,,,,,Abhishek,Shishtaouk,1452
,,,,,,,,,,Shishtaouk,Shishtaouk,0
,,,,,,,,,,SugaDaddy,Shishtaouk,0
,,,,,,,,,,Spartan,Spartan,0
,,,,,,,,,,Diraj,Spartan,901
,,,,,,,,,,NipPincher,Spartan,1752
,,,,,,,,,,Sanjay,Spartan,3078
,,,,,,,,,,thamarmo,Spartan,0
,,,,,,,,,,Abhishek,Spartan,1603
,,,,,,,,,,Shishtaouk,Spartan,0
,,,,,,,,,,SugaDaddy,Spartan,1302
,,,,,,,,,,Spartan,SugaDaddy,0
,,,,,,,,,,Diraj,SugaDaddy,451
,,,,,,,,,,NipPincher,SugaDaddy,0
,,,,,,,,,,Sanjay,SugaDaddy,751
,,,,,,,,,,thamarmo,SugaDaddy,0
,,,,,,,,,,Abhishek,SugaDaddy,1051
,,,,,,,,,,Shishtaouk,SugaDaddy,0
,,,,,,,,,,SugaDaddy,SugaDaddy,0
,,,,,,,,,,Spartan,thamarmo,101
,,,,,,,,,,Diraj,thamarmo,0
,,,,,,,,,,NipPincher,thamarmo,0
,,,,,,,,,,Sanjay,thamarmo,2025
,,,,,,,,,,thamarmo,thamarmo,0
,,,,,,,,,,Abhishek,thamarmo,2417
,,,,,,,,,,Shishtaouk,thamarmo,0
,,,,,,,,,,SugaDaddy,thamarmo,951
