Game No,Sanjay,thamarmo,Abhishek,Shishtaouk,NipPincher,Diraj,SugaDaddy,Spartan,Ship,BlackNite,Chigster
1,4213,-951,-451,-751,,,,,,,
2,-121,,3266,,,,,,,,
3,5685,,-951,,,,,,,,
4,458,-701,-701,-901,,,,,,,
5,,-501,-701,4073,-1401,,,,,,
6,-451,5452,-131,,,,,,,,
7,4159,-201,-251,-1051,,,,,,,
8,-51,3027,-33,,,,,,,,
9,,-1101,-751,4066,-1051,,,,,,
10,,-551,,6255,-1276,,,-1501,,,
11,-331,-1051,7616,,,,,-1101,,,
12,-271,4525,-101,,,,,,,,
13,5808,-751,-901,,,,,,,,
14,-701,5578,-1401,,,,,-101,,,
15,-101,,5169,,-601,,,-951,,,
16,,,5679,,-1501,,-1501,-2001,,,
17,-1001,,3576,-95,,-951,,,,,
18,-551,4475,-751,,,,-951,,,,
19,,,7398,,-1051,-951,,-1001,,,
20,4563,-1101,-331,,,,,-751,,,
21,-9,-601,-361,,,5063,,,,,
22,3599,,-14,,,-1001,-951,,,,
23,-1051,,-101,,-751,,,3630,,,
24,-1151,,6244,,,-9,-601,,,,
25,,,,,-1001,-901,-551,8396,,,
26,-751,,-751,,,,-751,6165,,,
27,7437,-551,-751,,,,,-1101,,,
28,-111,,4698,,,-701,-1051,,,,
29,-1276,,-751,,,,,5387,-951,,
30,-751,,-1051,,,-451,4501,,,,
31,-701,-751,-251,,,,588,,,,
32,4850,,-701,,,-751,-271,,,,
33,,,,,,-2001,4734,-1051,,,
34,,,,,,-551,-551,3029,,,
35,-201,-201,10441,,,-951,,,,,
36,,,,,,-1051,5540,-1051,,,
37,-551,,-601,,,,,5156,,-201,
38,-1101,,,,-1051,,4452,-551,,,
39,-1101,,6190,,,,-1001,,,,-201
40,4214,,-551,,,-601,-601,,,,
41,-551,,,,5626,,,-1501,,-751,
42,-71,,6222,,,,,-501,,-1151,
43,-1051,-101,-551,,,,4709,,,,
44,6477,,-1051,,,,,-2001,-901,,
45,-751,-551,-901,,,,4151,,,,
46,,,,,,5031,-951,-1001,,,
47,5410,,-951,,-151,,,-1001,,,
48,4895,-951,-1001,,,,-951,,,,
49,4953,-1001,-951,,,,-1401,,,,
50,-751,,,,,-551,-551,5771,,,
51,4873,,,,,-901,-901,-901,,,
52,4027,,-701,,,,,-701,,,
53,4532,,-951,,,,-951,,,,
54,-1101,-1051,3784,,,,-201,,,,
55,-37,,-901,,7925,,,-901,,,
56,-1101,-901,5374,,,,-601,,,,
57,,-951,3603,,,-951,-951,,,,
58,,-2001,4436,,,,-901,,,,
59,-101,,4684,,-401,,,-751,,,
60,-601,,3997,,,-951,-1401,,,,
61,-1001,,5779,,,,,-201,,-21,
62,-101,,-1051,,,,5470,,,-951,
63,,,-1151,,,5122,,-601,,,
64,4354,,-851,,-601,,,-95,,,
65,-601,-451,-501,,,,3979,,,,
66,5162,-2001,-501,,,,,,,,
67,,,,,,-1001,6759,-33,,-1051,
68,,,,,,-1001,-1051,5324,,-1001,
69,-951,,-701,,-61,,,2988,,,
70,-951,,-1151,,5576,,,-1276,,,
71,-1001,,-1201,,,-951,4913,,,,
72,4276,,-1051,,,-951,-951,,,,
73,,,,,,-2001,-501,4546,,,
74,-551,,-1276,,,,,-1276,,5095,
75,-1051,,-1051,,,,4382,-701,,,
76,-1401,,3717,,,,-2001,-1101,,,
77,,,4207,,,,-1101,-1101,,-2001,
78,,,-15,,,,-751,,,3211,
79,3955,,-451,,-1201,,-1151,,,,
80,3763,,-95,,,,-601,,,-1001,
81,-901,,-901,,4054,,,,,-601,
82,,,-1051,,4718,,-451,-1101,,,
83,-1101,,-801,,,,-1051,,,3697,
84,-1051,,5456,,,,,-2001,,-751,
85,,,-751,,,,-95,3632,,-551,
86,,,-1051,,,,4682,,-1101,-1051,
87,-951,,-951,,-1101,,,3047,,,
88,3128,,-801,,,,-951,-95,,,
89,4552,,-201,,-601,,,,,,
90,-901,,-1151,,,,,4153,,-751,
91,-951,,-951,,3719,,,-951,,,
92,-701,,,,,-1501,5067,-601,,,
93,,,,,,,,,,,
